time,mag,magType,nst,gap,dmin,rms,net,place,locationSource,magSource
2023-01-24T02:13:14.944Z,5.8,mww,115,31,2.074,0.5,us,"168 km NW of Tobelo, Indonesia",us,us
2023-01-24T02:11:36.862Z,4.1,mb,54,124,1.171,0.46,us,"95 km SSE of Korsakov, Russia",us,us
2023-01-24T01:10:21.142Z,5.1,mww,72,49,2.031,0.68,us,Molucca Sea,us,us
2023-01-24T00:46:24.120Z,3.36,md,14,161,0.08462,0.2,pr,"5 km SSW of Ramos, Puerto Rico",pr,pr
2023-01-23T23:16:46.215Z,3,ml,44,247,2.372,0.56,us,off the coast of Oregon,us,us
2023-01-23T22:55:19.763Z,4.5,mb,36,155,1.805,0.82,us,"90 km SW of Kotabumi, Indonesia",us,us
2023-01-23T22:35:21.368Z,3.9,mwr,27,181,0.236,0.59,us,"64 km W of Ovalle, Chile",us,us
2023-01-23T22:34:17.116Z,4.2,mb,18,98,1.722,0.56,us,"67 km W of Abra Pampa, Argentina",us,us
2023-01-23T22:21:20.501Z,4.4,mb,48,46,3.59,0.79,us,Fiji region,us,us
2023-01-23T21:44:38.261Z,4,ml,,,,0.46,ak,"78 km SSW of Kaktovik, Alaska",ak,ak
2023-01-23T20:12:38.040Z,2.51,md,47,167,,0.26,hv,"43 km SSW of Mākena, Hawaii",hv,hv
2023-01-23T18:17:34.538Z,5.5,mb,81,110,2.112,1.05,us,"162 km NW of Tobelo, Indonesia",us,us
2023-01-23T17:46:06.530Z,2.57,ml,41,208,,0.180000007,hv,"17 km ESE of Naalehu, Hawaii",hv,hv
2023-01-23T17:08:36.370Z,3.18,md,6,308,0.5315,0.2,pr,Virgin Islands,pr,pr
2023-01-23T17:06:49.034Z,5,mb,52,95,2.013,0.8,us,Molucca Sea,us,us
2023-01-23T15:38:36.453Z,4.6,mb,70,122,1.999,0.81,us,"155 km NW of Tobelo, Indonesia",us,us
2023-01-23T14:57:33.246Z,4.6,mb,29,121,3.868,0.97,us,"135 km N of Lae, Papua New Guinea",us,us
2023-01-23T14:09:00.247Z,4.5,mb,37,84,2.207,0.52,us,"176 km NW of Tobelo, Indonesia",us,us
2023-01-23T14:01:53.532Z,4.7,mb,78,109,2.241,0.62,us,"Pulau-Pulau Talaud, Indonesia",us,us
2023-01-23T13:58:02.950Z,3.62,ml,105,31,0.05538,0.1,nc,"9km ENE of San Martin, CA",nc,nc
2023-01-23T13:42:03.274Z,5.1,mb,84,47,5.465,0.72,us,"2 km NE of Lakhipur, India",us,us
2023-01-23T13:29:36.260Z,4.4,mb,24,118,3.654,0.52,us,Banda Sea,us,us
2023-01-23T12:01:32.370Z,3,md,5,288,0.5037,0.25,pr,"57 km N of Charlotte Amalie, U.S. Virgin Islands",pr,pr
2023-01-23T10:37:52.930Z,5.1,mww,101,46,5.117,1.15,us,"92 km SSW of Qrendi, Malta",us,us
2023-01-23T10:37:46.658Z,4.6,mb,32,99,4.572,0.74,us,south of the Fiji Islands,us,us
2023-01-23T10:08:01.471Z,3,ml,,,,0.35,ak,"61 km SE of Denali National Park, Alaska",ak,ak
2023-01-23T08:10:37.610Z,3,ml,,,,0.43,ak,"23 km SW of Port Lions, Alaska",ak,ak
2023-01-23T08:09:04.269Z,4.9,mb,48,57,3.933,0.46,us,southeast of the Loyalty Islands,us,us
2023-01-23T07:54:58.660Z,3.52,md,18,213,0.047,0.12,pr,Puerto Rico,pr,pr
2023-01-23T06:39:54.770Z,3.91,md,16,265,0.9567,0.58,pr,"88 km N of Suárez, Puerto Rico",pr,pr
2023-01-23T06:37:03.770Z,3.93,md,11,281,1.3126,0.45,pr,"123 km N of Suárez, Puerto Rico",pr,pr
2023-01-23T05:37:42.960Z,3.95,md,15,279,1.2111,0.53,pr,Puerto Rico region,pr,pr
2023-01-23T04:35:06.251Z,4.2,mwr,49,97,2.134,0.63,us,"68 km S of Hirara, Japan",us,us
2023-01-23T03:05:19.620Z,3.6,md,19,229,0.0985,0.15,pr,Puerto Rico region,pr,pr
2023-01-23T03:02:03.289Z,5.1,mb,63,85,7.956,0.75,us,South Sandwich Islands region,us,us
2023-01-23T02:59:43.370Z,5.2,mb,86,100,9.949,1.28,us,"Volcano Islands, Japan region",us,us
2023-01-23T02:44:36.190Z,2.9,ml,,,,0.24,ak,"34 km WSW of Karluk, Alaska",ak,ak
2023-01-23T02:42:57.559Z,4.6,mb,35,131,2.035,0.47,us,"147 km NW of Tobelo, Indonesia",us,us
2023-01-23T01:44:27.400Z,2.46,md,26,240,0.2098,0.13,nc,"28km WNW of Petrolia, CA",nc,nc
2023-01-23T01:17:47.630Z,2.95,md,21,195,0.05743,0.13,pr,"6 km ESE of La Parguera, Puerto Rico",pr,pr
2023-01-22T23:13:08.480Z,2.57,md,5,201,0.05337,0.06,pr,"6 km ESE of La Parguera, Puerto Rico",pr,pr
2023-01-22T22:49:23.265Z,4.7,mb,59,127,1.256,0.34,us,"54 km SE of Lukatan, Philippines",us,us
2023-01-22T22:25:06.580Z,2.53,md,14,198,0.01751,0.12,pr,Puerto Rico,pr,pr
2023-01-22T22:15:26.093Z,4.3,mb,24,69,0.742,0.76,us,"15 km NE of Rotorua, New Zealand",us,us
2023-01-22T22:08:56.488Z,4.6,mb,20,189,0.941,0.4,us,Guatemala,us,us
2023-01-22T22:08:27.516Z,4.1,mb,22,101,10.681,0.51,us,"129 km WSW of Zhangye, China",us,us
2023-01-22T21:49:17.570Z,2.87,md,27,233,0.08179,0.1,nc,"15km WSW of Ferndale, CA",nc,nc
2023-01-22T21:22:37.585Z,4.4,mb,20,97,2.535,0.68,us,"Hindu Kush region, Afghanistan",us,us
2023-01-22T20:46:08.005Z,4.4,mb,66,188,1.449,0.9,us,"101 km S of Puerto San José, Guatemala",us,us
2023-01-22T20:13:42.392Z,5,mb,73,57,9.001,0.56,us,"108 km SSE of Panguna, Papua New Guinea",us,us
2023-01-22T20:07:59.636Z,2.6,ml,16,189,1.855,0.26,us,northern Alaska,us,us
2023-01-22T20:06:37.343Z,2.8,mb_lg,23,96,0.482,0.4,us,"7 km NE of Hope, Kansas",us,us
2023-01-22T20:00:53.190Z,2.85,md,25,194,0.01243,0.17,pr,"2 km SE of Maria Antonia, Puerto Rico",pr,pr
2023-01-22T19:03:03.690Z,2.67,md,29,60,0.01023,0.19,pr,Puerto Rico,pr,pr
2023-01-22T18:56:11.720Z,4.6,mb,67,52,2.806,0.97,us,Fiji region,us,us
2023-01-22T18:51:49.860Z,2.73,md,19,74,0.007483,0.15,pr,Mona Passage,pr,pr
2023-01-22T18:21:02.158Z,4.5,mb,66,115,2.109,0.65,us,Molucca Sea,us,us
2023-01-22T17:57:42.454Z,4.7,mb,54,118,1.983,0.61,us,"155 km NW of Tobelo, Indonesia",us,us
2023-01-22T16:57:12.253Z,4.6,mb,38,61,2.858,0.54,us,"204 km NE of Lospalos, Timor Leste",us,us
